parent_code,code,name,type,asset_type,method_number_min,method_number,account_asset_id,account_depreciation_id,account_expense_id,account_income_id,method,method_time,method_period
,0,Catalog Mijloace Fixe,view,none,,,,,,,,,
0,1,Grupa 1. Constructii,view,none,,,,,,,,,
0,2,"Grupa 2. Instalatii tehnice, mijloace de transport, animale si plantatii",view,none,,,,,,,,,
0,3,"Mobilier, aparatura birotica, sisteme de protectie a valorilor umane si materiale si alte active corporale",view,none,,,,,,,,,
1,1_1,Constructii industriale,view,none,,,,,,,,,
1,1_1,Alte constructii neregasite in cadrul subgrupei 1,normal,fixed,288,432,212000,281200,681100,758300,linear,number,1
1_1,1_1_1,Cladiri industriale in afara de cladirile din,normal,fixed,480,720,212000,281200,681100,758300,linear,number,1
1_1_1,1_1_1_1,"Cladiri industriale cladirile din industria alimentara, industria materialelor de constructii, industria metalurgica si industria siderurgica;",normal,fixed,336,504,212000,281200,681100,758300,linear,number,1
1_1_1,1_1_1_2,Cladiri industriale cladirile din industria chimica,normal,fixed,288,432,212000,281200,681100,758300,linear,number,1
1,1_1_10,Rampe de incarcare descarcare.,normal,fixed,300,420,212000,281200,681100,758300,linear,number,1
1_1,1_1_11,"Constructii miniere subterane: pentru personal, gari si remize, statii de pompare, statii de compresoare, canale pentru aeraj, buncare, suitori-coboratori, etc.",normal,fixed,240,360,212000,281200,681100,758300,linear,number,1
1_1,1_1_12,Cosuri de fum si turnuri de racire,normal,fixed,288,432,212000,281200,681100,758300,linear,number,1
1_1,1_1_13,Iazuri pentru decantarea sterilului,normal,fixed,144,576,212000,281200,681100,758300,linear,number,1
1_1,1_1_14,"Camere de fum, de prafuire, de uscare",normal,fixed,336,504,212000,281200,681100,758300,linear,number,1
1_1,1_1_15,Lucrari de constructii de decoperta pentru exploatari miniere,normal,fixed,96,144,212000,281200,681100,758300,linear,number,1
1_1,1_1_16,Poligoane de incercari experimentale in aer liber sau in incaperi inchise,normal,fixed,144,216,212000,281200,681100,758300,linear,number,1
1_1,1_1_17,Alte constructii industriale neregasite in cadrul subgrupei 1.1.,normal,fixed,288,432,212000,281200,681100,758300,linear,number,1
1_1,1_1_2,"Constructii usoare cu structuri metalice (hale de productie, hale de montaj, etc.) in afara de:",normal,fixed,192,288,212000,281200,681100,758300,linear,number,1
1_1_2,1_1_2_1,"Constructii usoare cu structuri metalice (hale de productie, hale de montaj, etc.): baraci, soproane, etc.",normal,fixed,96,144,212000,281200,681100,758300,linear,number,1
1_1,1_1_3,"Centrale hidroelectrice, statii si posturi de transformare, statii de conexiuni, in afara de:",normal,fixed,480,720,212000,281200,681100,758300,linear,number,1
1_1_3,1_1_3_1,"Centrale hidroelectrice, statii si posturi de transformare, statii de conexiuni,: constructii speciale metalice;",normal,fixed,384,576,212000,281200,681100,758300,linear,number,1
1_1_3,1_1_3_2,"Centrale hidroelectrice, statii si posturi de transformare, statii de conexiuni,: constructii speciale din beton.",normal,fixed,288,432,212000,281200,681100,758300,linear,number,1
1_1,1_1_4,"Centrale termoelectrice si nuclearo-electrice, in afara de",normal,fixed,384,576,212000,281200,681100,758300,linear,number,1
1_1_4,1_1_4_1,"Centrale termoelectrice si nuclearo-electrice, cladirea reactorului.",normal,fixed,288,432,212000,281200,681100,758300,linear,number,1
1_1,1_1_5,Piete si platforme,view,none,,,,,,,,,
1_1_5,1_1_5_1,Piete si platforme din beton;,normal,fixed,288,432,212000,281200,681100,758300,linear,number,1
