"id","name","code","country_id/id"
"AB","Alba","AB","base.ro"
"AR","Arad","AR","base.ro"
"AG","Arges","AG","base.ro"
"BC","Bacau","BC","base.ro"
"BH","Bihor","BH","base.ro"
"BN","Bistrita-Nasaud","BN","base.ro"
"BT","Botosani","BT","base.ro"
"BR","Braila","BR","base.ro"
"BV","Brasov","BV","base.ro"
"B","Bucuresti","B","base.ro"
"BZ","Buzau","BZ","base.ro"
"CL","Calarasi","CL","base.ro"
"CS","Caras-Severin","CS","base.ro"
"CJ","Cluj","CJ","base.ro"
"CT","Constanta","CT","base.ro"
"CV","Covasna","CV","base.ro"
"DB","Dambovita","DB","base.ro"
"DJ","Dolj","DJ","base.ro"
"GL","Galati","GL","base.ro"
"GR","Giurgiu","GR","base.ro"
"GJ","Gorj","GJ","base.ro"
"HR","Harghita","HR","base.ro"
"HD","Hunedoara","HD","base.ro"
"IL","Ialomita","IL","base.ro"
"IS","Iasi","IS","base.ro"
"IF","Ilfov","IF","base.ro"
"MM","Maramures","MM","base.ro"
"MH","Mehedinti","MH","base.ro"
"MS","Mures","MS","base.ro"
"NT","Neamt","NT","base.ro"
"OT","Olt","OT","base.ro"
"PH","Prahova","PH","base.ro"
"SJ","Salaj","SJ","base.ro"
"SM","Satu Mare","SM","base.ro"
"SB","Sibiu","SB","base.ro"
"SV","Suceava","SV","base.ro"
"TR","Teleorman","TR","base.ro"
"TM","Timis","TM","base.ro"
"TL","Tulcea","TL","base.ro"
"VL","Valcea","VL","base.ro"
"VS","Vaslui","VS","base.ro"
"VR","Vrancea","VR","base.ro"
